team,lead_pts,season_pts,goals_pg,goal_diff,shots,on_target,free_kicks,corner_kicks,yellow_cards,red_cards
Chelsea,71,86.0,2.71,71.0,697.0,388.0,441.0,285.0,56.0,5.0
Man United,80,85.0,2.26,58.0,616.0,344.0,421.0,294.0,51.0,4.0
Arsenal,68,75.0,2.18,42.0,560.0,329.0,419.0,258.0,56.0,1.0
Tottenham,62,70.0,1.76,26.0,597.0,348.0,418.0,241.0,57.0,1.0
Man City,71,67.0,1.92,28.0,454.0,252.0,402.0,239.0,51.0,2.0
Aston Villa,48,64.0,1.37,13.0,429.0,239.0,460.0,241.0,61.0,2.0
Liverpool,58,63.0,1.61,26.0,519.0,288.0,445.0,268.0,56.0,5.0
Everton,54,61.0,1.58,11.0,510.0,307.0,462.0,228.0,57.0,2.0
Birmingham,39,50.0,1.0,-9.0,373.0,220.0,408.0,189.0,74.0,1.0
Blackburn,43,50.0,1.08,-14.0,434.0,238.0,526.0,182.0,59.0,2.0
Stoke,46,47.0,0.89,-14.0,337.0,170.0,448.0,183.0,66.0,5.0
Fulham,49,46.0,1.03,-7.0,380.0,210.0,420.0,182.0,46.0,1.0
Sunderland,47,44.0,1.26,-8.0,384.0,216.0,518.0,181.0,82.0,9.0
Bolton,46,39.0,1.11,-25.0,460.0,246.0,519.0,192.0,75.0,5.0
Wolves,40,38.0,0.84,-24.0,377.0,206.0,483.0,206.0,64.0,4.0
Wigan,42,36.0,0.97,-42.0,498.0,266.0,482.0,184.0,64.0,3.0
West Ham,33,35.0,1.24,-19.0,457.0,258.0,485.0,181.0,66.0,3.0
Burnley,0,30.0,1.11,-40.0,406.0,228.0,434.0,180.0,57.0,2.0
Hull,0,30.0,0.89,-41.0,336.0,181.0,520.0,151.0,67.0,6.0
Portsmouth,0,28.0,0.89,-32.0,466.0,254.0,483.0,188.0,72.0,5.0
Newcastle,46,37.3,0.87,-25.2,199.66,113.36,175.16,93.25,24.14,1.1
West Brom,47,37.3,0.96,-25.2,263.97,145.1,220.93,121.33,36.89,1.23
Blackpool,39,37.3,1.04,-25.2,345.29,175.84,242.98,139.61,30.37,1.6
