team,lead_pts,season_pts,goals_pg,goal_diff,shots,on_target,free_kicks,corner_kicks,yellow_cards,red_cards
Chelsea,50,87.0,1.92,41.0,563.0,210.0,382.0,226.0,77.0,4.0
Man City,66,79.0,2.18,45.0,668.0,228.0,445.0,273.0,77.0,2.0
Arsenal,71,75.0,1.87,35.0,612.0,228.0,377.0,254.0,68.0,2.0
Man United,66,70.0,1.63,25.0,509.0,179.0,453.0,213.0,64.0,5.0
Tottenham,70,64.0,1.53,5.0,524.0,172.0,441.0,224.0,79.0,4.0
Liverpool,60,62.0,1.37,4.0,590.0,194.0,385.0,198.0,66.0,3.0
Southampton,63,60.0,1.42,21.0,506.0,170.0,468.0,209.0,57.0,3.0
Swansea,47,56.0,1.21,-3.0,422.0,147.0,398.0,151.0,48.0,5.0
Stoke,51,54.0,1.26,3.0,501.0,136.0,486.0,192.0,82.0,1.0
Crystal Palace,42,48.0,1.24,-4.0,438.0,139.0,527.0,209.0,63.0,4.0
Everton,47,47.0,1.26,-2.0,484.0,166.0,388.0,194.0,66.0,2.0
West Ham,62,47.0,1.16,-3.0,485.0,152.0,420.0,241.0,64.0,2.0
West Brom,43,44.0,1.0,-13.0,411.0,130.0,423.0,171.0,64.0,3.0
Leicester,81,41.0,1.21,-9.0,457.0,137.0,457.0,211.0,49.0,4.0
Newcastle,37,39.0,1.05,-23.0,467.0,143.0,433.0,222.0,66.0,7.0
Sunderland,39,38.0,0.82,-22.0,404.0,129.0,435.0,185.0,94.0,2.0
Aston Villa,17,38.0,0.82,-26.0,414.0,127.0,400.0,171.0,70.0,7.0
Hull,0,35.0,0.87,-18.0,429.0,131.0,451.0,169.0,71.0,6.0
Burnley,0,33.0,0.74,-25.0,429.0,125.0,406.0,170.0,64.0,2.0
QPR,0,30.0,1.11,-31.0,533.0,151.0,447.0,179.0,75.0,3.0
Bournemouth,42,39.2,1.12,-17.2,334.07,117.6,202.97,140.25,33.1,1.31
Watford,45,39.2,1.05,-17.2,294.22,110.99,214.5,110.99,32.59,3.08
Norwich,34,39.2,1.06,-17.2,337.3,110.76,248.42,135.38,38.74,1.82
