team,lead_pts,season_pts,goals_pg,goal_diff,shots,on_target,free_kicks,corner_kicks,yellow_cards,red_cards
Man City,79,86.0,2.68,65.0,673.0,238.0,394.0,283.0,72.0,1.0
Liverpool,62,84.0,2.66,51.0,650.0,259.0,410.0,224.0,54.0,1.0
Chelsea,87,82.0,1.87,44.0,693.0,228.0,420.0,249.0,56.0,3.0
Arsenal,75,79.0,1.79,27.0,524.0,210.0,348.0,211.0,53.0,4.0
Everton,47,72.0,1.61,22.0,560.0,195.0,365.0,251.0,54.0,1.0
Tottenham,64,69.0,1.45,4.0,584.0,189.0,403.0,230.0,66.0,4.0
Man United,70,64.0,1.68,21.0,525.0,181.0,399.0,216.0,66.0,3.0
Southampton,60,56.0,1.42,8.0,531.0,177.0,443.0,211.0,60.0,0.0
Stoke,54,50.0,1.18,-7.0,425.0,139.0,485.0,164.0,72.0,5.0
Newcastle,39,49.0,1.13,-16.0,579.0,184.0,412.0,190.0,52.0,6.0
Crystal Palace,48,45.0,0.87,-15.0,414.0,143.0,404.0,172.0,57.0,2.0
Swansea,56,42.0,1.42,0.0,494.0,163.0,373.0,223.0,55.0,3.0
West Ham,47,40.0,1.05,-11.0,418.0,119.0,402.0,184.0,61.0,5.0
Sunderland,38,38.0,1.08,-19.0,490.0,137.0,444.0,188.0,68.0,7.0
Aston Villa,38,38.0,1.03,-22.0,430.0,134.0,484.0,163.0,78.0,0.0
Hull,35,37.0,1.0,-15.0,425.0,129.0,421.0,160.0,53.0,4.0
West Brom,44,36.0,1.13,-16.0,485.0,145.0,426.0,187.0,67.0,0.0
Norwich,0,33.0,0.74,-34.0,464.0,146.0,424.0,197.0,62.0,2.0
Fulham,0,32.0,1.05,-45.0,431.0,149.0,383.0,194.0,57.0,1.0
Cardiff,0,30.0,0.84,-42.0,419.0,126.0,342.0,196.0,49.0,1.0
Leicester,41,37.1,0.79,-21.9,277.52,89.48,176.41,104.39,18.55,0.73
Burnley,33,37.1,0.76,-21.9,251.72,86.97,186.3,96.54,19.55,0.8
QPR,30,37.1,0.73,-21.9,294.02,94.6,237.9,115.01,28.29,1.86
