team,lead_pts,season_pts,goals_pg,goal_diff,shots,on_target,free_kicks,corner_kicks,yellow_cards,red_cards
Man City,98,100.0,2.79,79.0,664.0,261.0,344.0,284.0,58.0,2.0
Man United,66,81.0,1.79,40.0,513.0,181.0,404.0,220.0,64.0,1.0
Tottenham,71,77.0,1.95,38.0,622.0,217.0,384.0,246.0,49.0,2.0
Liverpool,97,75.0,2.21,46.0,640.0,233.0,344.0,230.0,44.0,1.0
Chelsea,72,70.0,1.63,24.0,606.0,220.0,363.0,230.0,41.0,4.0
Arsenal,70,63.0,1.95,23.0,593.0,234.0,383.0,225.0,57.0,2.0
Burnley,40,54.0,0.95,-3.0,379.0,127.0,350.0,167.0,65.0,0.0
Everton,54,49.0,1.16,-14.0,360.0,122.0,459.0,150.0,51.0,3.0
Leicester,52,47.0,1.47,-4.0,422.0,148.0,365.0,203.0,52.0,5.0
Newcastle,45,44.0,1.03,-8.0,449.0,150.0,409.0,167.0,52.0,2.0
Crystal Palace,49,44.0,1.18,-10.0,475.0,151.0,425.0,209.0,71.0,0.0
Bournemouth,45,44.0,1.18,-16.0,467.0,158.0,339.0,218.0,55.0,1.0
West Ham,52,42.0,1.26,-20.0,373.0,133.0,379.0,161.0,72.0,2.0
Watford,50,41.0,1.16,-20.0,440.0,132.0,441.0,184.0,63.0,4.0
Brighton,36,40.0,0.89,-20.0,383.0,118.0,413.0,163.0,54.0,2.0
Huddersfield,16,37.0,0.74,-30.0,360.0,111.0,396.0,165.0,61.0,3.0
Southampton,39,36.0,0.97,-19.0,451.0,145.0,416.0,227.0,63.0,2.0
Swansea,0,33.0,0.74,-28.0,336.0,104.0,377.0,150.0,51.0,1.0
Stoke,0,33.0,0.92,-33.0,382.0,131.0,436.0,136.0,62.0,1.0
West Brom,0,31.0,0.82,-25.0,375.0,114.0,440.0,176.0,72.0,1.0
Wolves,57,38.1,0.83,-22.1,233.22,83.51,220.13,86.21,26.55,1.54
Cardiff,34,38.1,0.77,-22.1,270.51,96.1,269.24,95.25,34.29,0.42
Fulham,26,38.1,0.9,-22.1,275.36,90.49,216.04,107.37,32.9,1.3
