team,lead_pts,season_pts,goals_pg,goal_diff,shots,on_target,free_kicks,corner_kicks,yellow_cards,red_cards
Chelsea,83,91.0,1.89,50.0,514.0,277.0,434.0,224.0,63.0,5.0
Man United,89,83.0,1.89,38.0,555.0,286.0,486.0,221.0,60.0,2.0
Liverpool,68,82.0,1.5,32.0,563.0,283.0,438.0,234.0,50.0,5.0
Arsenal,68,67.0,1.79,37.0,462.0,274.0,479.0,211.0,55.0,2.0
Tottenham,60,65.0,1.39,15.0,411.0,234.0,466.0,210.0,52.0,5.0
Blackburn,52,63.0,1.34,9.0,384.0,183.0,568.0,230.0,76.0,6.0
Newcastle,43,58.0,1.24,5.0,370.0,208.0,600.0,190.0,66.0,7.0
Bolton,56,56.0,1.29,8.0,402.0,198.0,505.0,198.0,64.0,3.0
West Ham,41,55.0,1.37,-3.0,354.0,173.0,497.0,206.0,50.0,2.0
Wigan,38,51.0,1.18,-7.0,433.0,207.0,493.0,169.0,54.0,4.0
Everton,58,50.0,0.89,-15.0,378.0,206.0,535.0,236.0,65.0,7.0
Fulham,39,48.0,1.26,-10.0,358.0,178.0,460.0,165.0,63.0,2.0
Charlton,34,47.0,1.08,-14.0,371.0,183.0,486.0,143.0,46.0,3.0
Middlesbrough,46,45.0,1.26,-10.0,396.0,219.0,496.0,184.0,54.0,3.0
Man City,42,43.0,1.13,-5.0,430.0,212.0,514.0,203.0,70.0,4.0
Aston Villa,50,42.0,1.11,-13.0,378.0,197.0,537.0,237.0,62.0,2.0
Portsmouth,54,38.0,0.97,-25.0,411.0,222.0,496.0,218.0,54.0,1.0
Birmingham,0,34.0,0.74,-22.0,354.0,168.0,483.0,218.0,53.0,7.0
West Brom,0,30.0,0.82,-27.0,332.0,163.0,487.0,177.0,47.0,2.0
Sunderland,0,15.0,0.68,-43.0,337.0,183.0,538.0,177.0,69.0,4.0
Reading,55,39.2,0.96,-18.4,183.06,100.22,186.38,106.14,14.05,0.0
Sheffield United,38,39.2,0.87,-18.4,219.96,111.94,248.7,126.31,27.44,0.87
Watford,28,39.2,0.98,-18.4,267.14,146.15,326.67,142.77,28.55,2.9
