team,lead_pts,season_pts,goals_pg,goal_diff,shots,on_target,free_kicks,corner_kicks,yellow_cards,red_cards
Man United,89,80.0,2.05,41.0,543.0,310.0,396.0,245.0,58.0,3.0
Chelsea,64,71.0,1.82,36.0,635.0,344.0,405.0,255.0,59.0,1.0
Man City,89,71.0,1.58,27.0,477.0,276.0,454.0,228.0,74.0,5.0
Arsenal,70,68.0,1.89,29.0,595.0,342.0,432.0,252.0,68.0,6.0
Tottenham,69,62.0,1.45,9.0,560.0,321.0,361.0,256.0,51.0,2.0
Liverpool,52,58.0,1.55,15.0,475.0,268.0,436.0,214.0,63.0,2.0
Everton,56,54.0,1.34,6.0,509.0,286.0,459.0,245.0,58.0,5.0
Fulham,52,49.0,1.29,6.0,456.0,250.0,445.0,192.0,51.0,1.0
Aston Villa,38,48.0,1.26,-11.0,436.0,241.0,437.0,235.0,71.0,2.0
Sunderland,45,47.0,1.18,-11.0,450.0,230.0,403.0,180.0,59.0,5.0
West Brom,47,47.0,1.47,-15.0,523.0,287.0,391.0,189.0,54.0,7.0
Newcastle,65,46.0,1.47,-1.0,434.0,252.0,440.0,203.0,75.0,2.0
Stoke,45,46.0,1.21,-2.0,410.0,204.0,417.0,191.0,70.0,1.0
Bolton,36,46.0,1.37,-4.0,498.0,275.0,480.0,202.0,67.0,5.0
Blackburn,31,43.0,1.21,-13.0,385.0,191.0,455.0,175.0,65.0,4.0
Wigan,43,42.0,1.05,-21.0,450.0,253.0,461.0,169.0,68.0,4.0
Wolves,25,40.0,1.21,-20.0,371.0,207.0,438.0,242.0,63.0,2.0
Birmingham,0,39.0,0.97,-21.0,327.0,155.0,399.0,152.0,57.0,3.0
Blackpool,0,39.0,1.45,-23.0,446.0,235.0,403.0,186.0,47.0,2.0
West Ham,0,33.0,1.13,-27.0,469.0,246.0,406.0,185.0,58.0,1.0
QPR,37,42.1,0.89,-14.7,268.39,131.08,230.11,126.78,29.66,2.87
Norwich,47,42.1,1.09,-14.7,307.73,163.39,248.09,139.33,35.58,1.5
Swansea,47,42.1,0.96,-14.7,303.65,164.72,223.66,141.04,29.47,1.05
