team,lead_pts,season_pts,goals_pg,goal_diff,shots,on_target,free_kicks,corner_kicks,yellow_cards,red_cards
Man United,64,89.0,2.26,43.0,512.0,299.0,361.0,218.0,57.0,1.0
Man City,86,78.0,1.74,32.0,601.0,352.0,443.0,269.0,63.0,3.0
Chelsea,82,75.0,1.97,36.0,569.0,336.0,371.0,240.0,52.0,3.0
Arsenal,79,73.0,1.89,35.0,546.0,326.0,360.0,260.0,44.0,5.0
Tottenham,69,72.0,1.74,20.0,617.0,381.0,342.0,261.0,53.0,2.0
Everton,72,63.0,1.45,15.0,561.0,321.0,413.0,257.0,60.0,3.0
Liverpool,84,61.0,1.87,28.0,669.0,385.0,372.0,285.0,54.0,2.0
West Brom,36,49.0,1.39,-4.0,460.0,253.0,408.0,202.0,62.0,4.0
Swansea,42,46.0,1.24,-4.0,460.0,262.0,387.0,194.0,58.0,2.0
West Ham,40,46.0,1.18,-8.0,439.0,250.0,445.0,213.0,74.0,1.0
Norwich,33,44.0,1.08,-17.0,372.0,203.0,391.0,173.0,60.0,1.0
Fulham,32,43.0,1.32,-10.0,425.0,244.0,384.0,176.0,48.0,3.0
Stoke,50,42.0,0.89,-11.0,338.0,165.0,443.0,163.0,80.0,4.0
Southampton,56,41.0,1.29,-11.0,473.0,254.0,382.0,209.0,43.0,2.0
Aston Villa,38,41.0,1.24,-22.0,393.0,225.0,428.0,178.0,74.0,3.0
Newcastle,49,41.0,1.18,-23.0,471.0,252.0,437.0,203.0,72.0,4.0
Sunderland,38,39.0,1.08,-13.0,378.0,221.0,427.0,179.0,62.0,3.0
Wigan,0,36.0,1.24,-26.0,452.0,257.0,416.0,199.0,66.0,2.0
Reading,0,28.0,1.13,-30.0,351.0,179.0,359.0,189.0,45.0,1.0
QPR,0,25.0,0.79,-30.0,465.0,245.0,384.0,170.0,59.0,3.0
Cardiff,30,38.0,0.83,-19.3,238.48,131.47,214.9,132.34,33.2,1.31
Hull,37,38.0,0.77,-19.3,265.52,136.13,202.51,130.84,28.38,0.0
Crystal Palace,45,38.0,1.01,-19.3,266.0,132.47,247.0,149.36,34.31,1.06
