team,lead_pts,season_pts,goals_pg,goal_diff,shots,on_target,free_kicks,corner_kicks,yellow_cards,red_cards
Chelsea,70,93.0,2.24,52.0,580.0,204.0,394.0,218.0,72.0,0.0
Tottenham,77,86.0,2.26,60.0,669.0,257.0,432.0,273.0,62.0,0.0
Man City,100,78.0,2.11,41.0,633.0,217.0,395.0,280.0,71.0,4.0
Liverpool,75,76.0,2.05,36.0,638.0,236.0,397.0,249.0,54.0,0.0
Arsenal,63,75.0,2.03,33.0,565.0,200.0,397.0,227.0,67.0,3.0
Man United,81,69.0,1.42,25.0,589.0,210.0,497.0,217.0,76.0,2.0
Everton,49,61.0,1.63,18.0,498.0,192.0,459.0,196.0,71.0,2.0
Southampton,36,46.0,1.08,-7.0,548.0,179.0,424.0,200.0,58.0,2.0
Bournemouth,44,46.0,1.45,-12.0,446.0,160.0,366.0,191.0,51.0,3.0
West Brom,31,45.0,1.13,-8.0,400.0,123.0,449.0,158.0,80.0,0.0
West Ham,42,45.0,1.24,-17.0,496.0,138.0,408.0,172.0,77.0,5.0
Leicester,47,44.0,1.26,-15.0,432.0,145.0,451.0,197.0,71.0,1.0
Stoke,33,44.0,1.08,-15.0,426.0,137.0,434.0,188.0,70.0,2.0
Crystal Palace,44,41.0,1.32,-13.0,438.0,138.0,469.0,202.0,77.0,0.0
Swansea,33,41.0,1.18,-25.0,390.0,146.0,401.0,196.0,56.0,0.0
Burnley,54,40.0,1.03,-16.0,390.0,120.0,426.0,149.0,65.0,2.0
Watford,41,40.0,1.05,-28.0,419.0,144.0,517.0,164.0,83.0,5.0
Hull,0,34.0,0.97,-43.0,396.0,127.0,403.0,179.0,67.0,5.0
Middlesbrough,0,28.0,0.71,-26.0,349.0,100.0,478.0,141.0,76.0,1.0
Sunderland,0,24.0,0.76,-40.0,387.0,121.0,437.0,160.0,76.0,4.0
Newcastle,44,38.1,0.91,-23.8,285.34,101.74,212.79,114.71,32.02,1.22
Brighton,40,38.1,0.8,-23.8,249.49,82.35,242.94,96.27,30.73,2.05
Huddersfield,37,38.1,0.69,-23.8,293.98,96.43,253.06,125.12,38.1,1.88
