team,lead_pts,season_pts,goals_pg,goal_diff,shots,on_target,free_kicks,corner_kicks,yellow_cards,red_cards
Man United,87,89.0,2.18,56.0,627.0,342.0,426.0,258.0,60.0,1.0
Chelsea,85,83.0,1.68,40.0,522.0,271.0,436.0,230.0,64.0,4.0
Liverpool,76,68.0,1.5,30.0,592.0,286.0,444.0,282.0,43.0,0.0
Arsenal,83,68.0,1.66,28.0,537.0,276.0,368.0,278.0,59.0,3.0
Tottenham,46,60.0,1.5,3.0,442.0,237.0,398.0,181.0,46.0,4.0
Everton,65,58.0,1.37,16.0,393.0,199.0,530.0,208.0,67.0,2.0
Bolton,37,56.0,1.24,-5.0,350.0,184.0,521.0,215.0,82.0,4.0
Reading,36,55.0,1.37,5.0,353.0,170.0,402.0,276.0,40.0,3.0
Portsmouth,57,54.0,1.18,3.0,453.0,234.0,521.0,245.0,49.0,1.0
Blackburn,58,52.0,1.37,-2.0,418.0,208.0,527.0,203.0,81.0,7.0
Aston Villa,60,50.0,1.13,2.0,404.0,211.0,500.0,213.0,48.0,1.0
Middlesbrough,42,46.0,1.16,-5.0,384.0,192.0,510.0,188.0,65.0,2.0
Newcastle,43,43.0,1.0,-9.0,405.0,211.0,466.0,194.0,67.0,1.0
Man City,55,42.0,0.76,-15.0,394.0,203.0,533.0,195.0,60.0,4.0
West Ham,49,41.0,0.92,-24.0,397.0,201.0,534.0,197.0,86.0,2.0
Fulham,36,39.0,1.0,-22.0,367.0,179.0,482.0,175.0,58.0,3.0
Wigan,40,38.0,0.97,-22.0,418.0,205.0,477.0,177.0,76.0,3.0
Sheffield United,0,38.0,0.84,-23.0,402.0,202.0,455.0,180.0,68.0,2.0
Charlton,0,34.0,0.89,-26.0,351.0,168.0,428.0,180.0,58.0,4.0
Watford,0,28.0,0.76,-30.0,344.0,172.0,562.0,211.0,48.0,2.0
Sunderland,39,39.9,0.91,-17.4,277.94,154.61,266.6,137.38,28.56,0.91
Birmingham,35,39.9,0.82,-17.4,226.87,113.2,301.11,108.57,32.48,3.71
Derby,11,39.9,0.77,-17.4,257.45,131.57,333.92,113.52,43.22,0.95
