team,lead_pts,season_pts,goals_pg,goal_diff,shots,on_target,free_kicks,corner_kicks,yellow_cards,red_cards
Man United,90,87.0,2.11,58.0,620.0,353.0,391.0,262.0,51.0,2.0
Chelsea,83,85.0,1.71,39.0,497.0,270.0,432.0,254.0,65.0,6.0
Arsenal,72,83.0,1.95,43.0,530.0,289.0,392.0,237.0,56.0,3.0
Liverpool,86,76.0,1.76,39.0,607.0,320.0,424.0,237.0,46.0,1.0
Everton,63,65.0,1.45,22.0,420.0,234.0,456.0,198.0,40.0,3.0
Aston Villa,62,60.0,1.87,20.0,414.0,221.0,508.0,228.0,56.0,4.0
Blackburn,41,58.0,1.32,2.0,448.0,237.0,531.0,198.0,74.0,6.0
Portsmouth,41,57.0,1.26,8.0,501.0,267.0,508.0,185.0,58.0,3.0
Man City,50,55.0,1.18,-8.0,374.0,204.0,383.0,156.0,51.0,4.0
West Ham,51,49.0,1.11,-8.0,426.0,223.0,518.0,210.0,66.0,2.0
Tottenham,51,46.0,1.74,5.0,493.0,288.0,387.0,239.0,52.0,1.0
Newcastle,34,43.0,1.18,-20.0,415.0,221.0,452.0,213.0,61.0,1.0
Middlesbrough,32,42.0,1.13,-10.0,412.0,231.0,523.0,221.0,84.0,2.0
Wigan,45,40.0,0.89,-17.0,398.0,192.0,475.0,185.0,61.0,4.0
Sunderland,36,39.0,0.95,-23.0,401.0,209.0,473.0,189.0,67.0,4.0
Bolton,41,37.0,0.95,-18.0,390.0,219.0,498.0,209.0,76.0,0.0
Fulham,53,36.0,1.0,-22.0,384.0,206.0,459.0,188.0,60.0,6.0
Reading,0,36.0,1.08,-25.0,369.0,191.0,456.0,242.0,61.0,5.0
Birmingham,0,35.0,1.21,-16.0,349.0,189.0,496.0,195.0,69.0,3.0
Derby,0,11.0,0.53,-69.0,335.0,182.0,504.0,156.0,62.0,1.0
West Brom,32,36.5,1.04,-21.5,301.46,173.49,214.49,143.3,23.88,1.35
Stoke,45,36.5,0.84,-21.5,202.37,104.88,273.52,133.53,36.96,0.92
Hull,35,36.5,0.83,-21.5,273.51,139.19,293.95,122.64,35.04,1.95
