team,lead_pts,season_pts,goals_pg,goal_diff,shots,on_target,free_kicks,corner_kicks,yellow_cards,red_cards
Leicester,44,81.0,1.79,32.0,523.0,181.0,405.0,197.0,48.0,3.0
Arsenal,75,71.0,1.71,29.0,572.0,210.0,350.0,227.0,39.0,4.0
Tottenham,86,70.0,1.82,34.0,661.0,250.0,452.0,254.0,72.0,0.0
Man City,78,66.0,1.87,30.0,612.0,210.0,409.0,257.0,61.0,0.0
Man United,69,66.0,1.29,14.0,430.0,143.0,472.0,228.0,65.0,1.0
Southampton,46,63.0,1.55,18.0,519.0,169.0,416.0,224.0,57.0,6.0
West Ham,45,62.0,1.71,14.0,556.0,184.0,381.0,224.0,56.0,5.0
Liverpool,76,60.0,1.66,13.0,629.0,203.0,422.0,265.0,61.0,3.0
Stoke,44,51.0,1.08,-14.0,418.0,130.0,419.0,153.0,51.0,4.0
Chelsea,93,50.0,1.55,6.0,526.0,173.0,408.0,240.0,58.0,6.0
Everton,61,47.0,1.55,4.0,492.0,175.0,315.0,218.0,44.0,5.0
Swansea,41,47.0,1.11,-10.0,442.0,136.0,392.0,163.0,62.0,1.0
Watford,40,45.0,1.05,-10.0,445.0,136.0,460.0,166.0,74.0,3.0
West Brom,45,43.0,0.89,-14.0,384.0,106.0,392.0,188.0,63.0,3.0
Crystal Palace,41,42.0,1.03,-12.0,466.0,152.0,465.0,219.0,60.0,1.0
Bournemouth,46,42.0,1.18,-22.0,463.0,144.0,362.0,221.0,52.0,1.0
Sunderland,24,39.0,1.26,-14.0,439.0,143.0,396.0,160.0,62.0,2.0
Newcastle,0,37.0,1.16,-21.0,398.0,152.0,414.0,158.0,58.0,5.0
Norwich,0,34.0,1.03,-28.0,416.0,126.0,417.0,188.0,61.0,3.0
Aston Villa,0,17.0,0.71,-49.0,368.0,111.0,431.0,167.0,75.0,3.0
Burnley,40,39.3,0.8,-17.6,230.73,75.64,205.8,91.7,21.13,0.0
Middlesbrough,28,39.3,0.73,-17.6,279.07,95.82,215.49,114.81,28.26,0.88
Hull,34,39.3,0.86,-17.6,347.07,107.96,216.39,139.68,27.46,0.47
