team,lead_pts,season_pts,goals_pg,goal_diff,shots,on_target,free_kicks,corner_kicks,yellow_cards,red_cards
Man City,,98.0,2.5,72.0,683.0,260.0,328.0,287.0,44.0,1.0
Liverpool,,97.0,2.34,67.0,574.0,226.0,315.0,249.0,37.0,2.0
Chelsea,,72.0,1.66,24.0,606.0,198.0,339.0,215.0,49.0,0.0
Tottenham,,71.0,1.76,28.0,536.0,189.0,375.0,194.0,56.0,3.0
Arsenal,,70.0,1.92,22.0,466.0,170.0,412.0,212.0,72.0,2.0
Man United,,66.0,1.71,11.0,526.0,225.0,433.0,200.0,73.0,4.0
Wolves,,57.0,1.24,1.0,474.0,151.0,409.0,195.0,72.0,1.0
Everton,,54.0,1.42,8.0,495.0,169.0,432.0,215.0,55.0,4.0
Leicester,,52.0,1.34,3.0,515.0,184.0,351.0,210.0,57.0,5.0
West Ham,,52.0,1.37,-3.0,441.0,157.0,331.0,187.0,59.0,1.0
Watford,,50.0,1.37,-7.0,434.0,151.0,433.0,177.0,77.0,4.0
Crystal Palace,,49.0,1.34,-2.0,491.0,146.0,386.0,205.0,58.0,2.0
Newcastle,,45.0,1.11,-6.0,444.0,142.0,422.0,181.0,57.0,2.0
Bournemouth,,45.0,1.47,-14.0,447.0,163.0,339.0,191.0,60.0,1.0
Burnley,,40.0,1.18,-23.0,359.0,115.0,359.0,140.0,75.0,1.0
Southampton,,39.0,1.18,-20.0,480.0,162.0,420.0,193.0,71.0,3.0
Brighton,,36.0,0.92,-25.0,365.0,108.0,463.0,156.0,60.0,4.0
Cardiff,,34.0,0.89,-35.0,417.0,126.0,384.0,168.0,65.0,1.0
Fulham,,26.0,0.89,-47.0,453.0,149.0,423.0,161.0,68.0,2.0
Huddersfield,,16.0,0.58,-54.0,400.0,118.0,420.0,162.0,55.0,4.0
Norwich,,38.0,0.99,-23.3,284.19,102.68,215.47,122.49,31.53,0.4
Sheffield United,,38.0,0.88,-23.3,248.92,83.69,238.67,134.07,31.6,1.28
Aston Villa,,38.0,1.08,-23.3,326.5,118.0,256.5,137.0,39.5,1.5
