team,lead_pts,season_pts,goals_pg,goal_diff,shots,on_target,free_kicks,corner_kicks,yellow_cards,red_cards
Man United,85,90.0,1.79,44.0,621.0,376.0,382.0,259.0,64.0,5.0
Liverpool,63,86.0,2.03,50.0,609.0,311.0,425.0,269.0,50.0,0.0
Chelsea,86,83.0,1.79,44.0,656.0,359.0,417.0,236.0,50.0,3.0
Arsenal,75,72.0,1.79,31.0,554.0,316.0,419.0,268.0,60.0,3.0
Everton,61,63.0,1.45,18.0,423.0,232.0,473.0,193.0,49.0,1.0
Aston Villa,64,62.0,1.42,6.0,408.0,225.0,431.0,260.0,53.0,2.0
Fulham,46,53.0,1.03,5.0,431.0,234.0,416.0,192.0,41.0,1.0
Tottenham,70,51.0,1.18,0.0,482.0,279.0,426.0,220.0,56.0,5.0
West Ham,35,51.0,1.11,-3.0,434.0,244.0,456.0,191.0,67.0,4.0
Man City,67,50.0,1.53,8.0,489.0,267.0,456.0,212.0,51.0,4.0
Wigan,36,45.0,0.89,-11.0,483.0,227.0,439.0,216.0,61.0,4.0
Stoke,47,45.0,1.0,-17.0,304.0,137.0,478.0,177.0,74.0,5.0
Bolton,39,41.0,1.08,-12.0,441.0,244.0,497.0,197.0,61.0,1.0
Portsmouth,28,41.0,1.0,-19.0,442.0,231.0,433.0,195.0,62.0,5.0
Blackburn,50,41.0,1.05,-20.0,404.0,219.0,501.0,198.0,76.0,4.0
Sunderland,44,36.0,0.89,-20.0,396.0,210.0,380.0,174.0,70.0,1.0
Hull,30,35.0,1.03,-25.0,416.0,213.0,533.0,188.0,72.0,3.0
Newcastle,0,34.0,1.05,-19.0,371.0,201.0,411.0,169.0,60.0,8.0
Middlesbrough,0,32.0,0.74,-29.0,426.0,219.0,420.0,173.0,54.0,3.0
West Brom,0,32.0,0.95,-31.0,466.0,255.0,432.0,232.0,67.0,1.0
Wolves,38,38.2,0.89,-20.3,220.29,124.79,266.13,115.02,26.74,1.7
Birmingham,50,38.2,0.65,-20.3,220.46,104.93,266.94,108.16,30.38,2.76
Burnley,30,38.2,0.95,-20.3,289.01,147.27,293.03,141.24,34.18,3.02
